"unigram","bigram","freq"
"day","what",10
"day","work",10
"decid","i",10
"didnt","take",10
"direct","messag",10
"do","think",10
"doesnt","make",10
"dont","mean",10
"dont","mind",10
"dont","miss",10
"either","way",10
"email","i",10
"ever","i",10
"everyon","great",10
"favorit","place",10
"feel","bad",10
"fell","love",10
"final","got",10
"first","year",10
"follow","blog",10
"follow","pleas",10
"follow","twitter",10
"food","i",10
"for","reason",10
"funni","i",10
"game","go",10
"get","first",10
"get","thing",10
"glad","enjoy",10
"go","ahead",10
"go","around",10
"go","follow",10
"go","shop",10
"go","wrong",10
"good","know",10
"good","start",10
"got","i",10
"great","news",10
"great","one",10
"he","know",10
"hes","got",10
"high","recommend",10
"hot","dog",10
"i","absolut",10
"i","becam",10
"i","better",10
"i","chose",10
"i","day",10
"i","die",10
"i","grab",10
"i","help",10
"i","hit",10
"i","hold",10
"i","imagin",10
"i","kept",10
"i","long",10
"i","meet",10
"i","order",10
"i","person",10
"i","proud",10
"i","ran",10
"i","run",10
"i","shouldnt",10
"i","sleep",10
"i","sometim",10
"i","suspect",10
"i","truli",10
"if","ever",10
"ill","probabl",10
"im","come",10
"im","curious",10
"im","i",10
"im","never",10
"im","one",10
"in","end",10
"it","didnt",10
"it","fun",10
"it","make",10
"it","might",10
"it","nice",10
"it","time",10
"it","work",10
"ive","made",10
"just","caus",10
"just","said",10
"just","think",10
"just","wanna",10
"know","good",10
"know","like",10
"know","need",10
"know","one",10
"know","peopl",10
"know","think",10
"leav","i",10
"left","i",10
"let","hope",10
"like","just",10
"like","littl",10
"like","us",10
"littl","boy",10
"lol","oh",10
"long","term",10
"look","around",10
"love","make",10
"love","peopl",10
"love","ya",10
"make","mistak",10
"make","want",10
"man","im",10
"manag","get",10
"mani","thank",10
"may","day",10
"may","i",10
"may","want",10
"move","back",10
"move","i",10
"much","easier",10
"much","like",10
"must","say",10
"my","life",10
"need","follow",10
"new","friend",10
"new","mexico",10
"nice","i",10
"no","problem",10
"not","bad",10
"not","even",10
"not","mention",10
"notic","i",10
"now","get",10
"now","the",10
"oh","shit",10
"oh","wait",10
"old","man",10
"one","els",10
"one","just",10
"one","know",10
"one","last",10
"one","mani",10
"one","us",10
"p","i",10
"paper","i",10
"peopl","arent",10
"peopl","know",10
"peopl","live",10
"peopl","love",10
"person","can",10
"plan","i",10
"pleas","dont",10
"press","releas",10
"public","librari",10
"public","servic",10
"real","deal",10
"rest","life",10
"rt","we",10
"see","happen",10
"send","email",10
"she","just",10
"smile","face",10
"so","can",10
"some","us",10
"someth","new",10
"still","i",10
"still","look",10
"still","use",10
"still","want",10
"sunday","morn",10
"take","away",10
"take","note",10
"tea","parti",10
"tell","friend",10
"tell","stori",10
"th","th",10
"thank","read",10
"that","one",10
"the","answer",10
"the","avenger",10
"the","girl",10
"the","number",10
"the","whole",10
"there","way",10
"think","good",10
"think","like",10
"think","time",10
"this","first",10
"this","isnt",10
"three","day",10
"time","come",10
"time","just",10
"time","now",10
"time","start",10
"time","think",10
"today","pm",10
"too","much",10
"twitter","account",10
"u","need",10
"u","want",10
"understand","i",10
"use","word",10
"visit","us",10
"wanna","get",10
"wasnt","even",10
"wasnt","sure",10
"watch","tv",10
"way","better",10
"we","must",10
"we","use",10
"web","site",10
"week","challeng",10
"week","later",10
"weight","loss",10
"well","worth",10
"what","day",10
"what","kind",10
"what","time",10
"will","be",10
"will","chang",10
"will","good",10
"will","like",10
"will","love",10
"will","need",10
"will","run",10
"will","soon",10
"will","tell",10
"work","hour",10
"work","new",10
"year","it",10
"yet","im",10
"you","are",10
"you","get",10
"you","look",10
"you","might",10
"you","realli",10
"youll","never",10
"young","woman",10
"a","week",9
"almost","alway",9
"also","help",9
"also","said",9
"alway","great",9
"alway","look",9
"and","final",9
"and","im",9
"anoth","time",9
